master_year,DIAMONDBACK E&P LLC,ENDEAVOR ENERGY RESOURCES L.P.,"EOG RESOURCES, INC.","PIONEER NATURAL RES. USA, INC.",XTO ENERGY INC.
2009,NA,963,126,443,468
2010,NA,1137,1508,790,422
2011,NA,1175,562,2132,678
2012,5,945,1231,1001,347
2013,456,1921,446,947,578
2014,807,1839,1452,553,618
2015,553,1543,1948,509,396
2016,143,1026,100,399,649
2017,248,1157,107,392,945
2018,2468,1151,66,546,678
2019,183,3132,84,564,229
2020,625,1795,6,438,34
2021,NA,587,5,479,81
2022,308,553,52,571,295
2023,481,75,NA,22,NA
